gss_code,gss_name,WD22CD,Population Total,latitude,longitude
E09000002,Barking and Dagenham,E05014053,219992,51.5381,0.1472
E09000003,Barnet,E05013628,389101,51.6592,-0.1979
E09000004,Bexley,E05011217,247835,51.4533,0.1504
E09000005,Brent,E05013496,341221,51.5586,-0.2858
E09000006,Bromley,E05013987,329578,51.4039,0.0157
E09000007,Camden,E05013652,218049,51.5434,-0.1417
E09000001,City of London,E09000001,10847,51.5127,-0.0918
E09000008,Croydon,E05011462,392224,51.3762,-0.0982
E09000009,Ealing,E05013518,369937,51.5132,-0.3089
E09000010,Enfield,E05013672,327224,51.6538,-0.0799
E09000011,Greenwich,E05014072,291080,51.4826,0.0077
E09000012,Hackney,E05009367,261491,51.5450,-0.0553
E09000013,Hammersmith and Fulham,E05013733,185238,51.4925,-0.2181
E09000014,Haringey,E05013585,261811,51.5888,-0.1065
E09000015,Harrow,E05013542,261185,51.5898,-0.3346
E09000016,Havering,E05013967,264703,51.5794,0.2223
E09000017,Hillingdon,E05013564,310681,51.5441,-0.4497
E09000018,Hounslow,E05013606,290488,51.4674,-0.3705
E09000019,Islington,E05013697,220373,51.5398,-0.1026
E09000020,Kensington and Chelsea,E05009388,146154,51.4937,-0.1988
E09000021,Kingston upon Thames,E05013928,168302,51.4116,-0.3013
E09000022,Lambeth,E05014095,615465,51.4617,-0.1173
E09000023,Lewisham,E05013714,298653,51.4607,-0.0163
E09000024,Merton,E05013810,214709,51.4038,-0.1997
E09000025,Newham,E05013904,358645,51.5306,0.0433
E09000026,Redbridge,E05011234,310911,51.5707,0.0903
E09000027,Richmond upon Thames,E05013774,194894,51.4503,-0.3056
E09000028,Southwark,E05011095,311913,51.4996,-0.0890
E09000029,Sutton,E05013754,210053,51.3619,-0.1911
E09000030,Tower Hamlets,E05009317,325789,51.5175,-0.0210
E09000031,Waltham Forest,E05013882,275887,51.5833,-0.0100
E09000032,Wandsworth,E05014009,329035,51.4550,-0.1925
E09000033,Westminster,E05013792,211365,51.4973,-0.1372
