location,salary,latitude,longitude
"East Midlands",19400,58.919014,-3.176615
"Derbyshire",17100,53.23586,-1.427393
"Alfreton",18300,53.097626,-1.390239
"Ashbourne",17800,53.017883,-1.731982
"Bakewell",5700,53.213436,-1.67495
"Belper",18300,53.0222,-1.480721
"Bolsover",6600,53.229614,-1.291847
"Buxton",19500,53.256634,-1.91366
"Chapel-en-le-Frith",1800,53.32307,-1.916026
"Chesterfield",18000,53.23586,-1.427393
"Clay Cross",6500,53.16525,-1.412697
"Derby",23800,52.921262,-1.476149
"Dronfield",15400,53.302197,-1.475376
"Glossop",13700,53.443302,-1.948877
"Heanor",22100,53.013863,-1.354015
"Ilkeston",20100,52.97065,-1.309413
"Long Eaton",18300,52.8996,-1.271089
"Matlock",24000,53.138287,-1.555379
"New Mills",8300,53.365604,-2.001904
"Ripley",21700,53.05051,-1.404237
"Sandiacre",30100,52.923016,-1.288668
"Shirebrook",10300,53.207767,-1.219827
"Staveley",7500,53.269283,-1.349407
"Swadlincote",13900,52.77374,-1.558078
"Whaley Bridge",200,53.329906,-1.98401
"Leicestershire",21900,52.649666,-1.205036
"Ashby-de-la-Zouch",19600,52.746967,-1.471825
"Coalville",18400,52.72472,-1.374317
"Earl Shilton",10400,52.575737,-1.315818
"Hinckley",22800,52.541126,-1.372884
"Leicester",26300,52.63614,-1.133079
"Loughborough",22000,52.772102,-1.206163
"Lutterworth",14400,52.455524,-1.199864
"Market Bosworth",21700,52.624226,-1.401819
"Market Harborough",23800,52.47796,-0.921053
"Melton Mowbray",16300,52.764256,-0.885737
"Shepshed",10900,52.771606,-1.290231
"Syston",21900,52.69924,-1.072825
"Lincolnshire",15400,53.230133,-0.541387
"Barton-upon-Humber",25500,53.68277,-0.438863
"Boston",14800,52.976616,-0.023287
"Bourne",12800,52.768204,-0.377195
"Brigg",16700,53.551933,-0.49246
"Cleethorpes",10500,53.56031,-0.028589
"Gainsborough",9700,53.40052,-0.773939
"Grantham",15000,52.910908,-0.64138
"Grimsby",19100,53.565395,-0.085947
"Heckington",5400,52.982334,-0.299651
"Holbeach",11800,52.80368,0.017101
"Horncastle",10000,53.208504,-0.117234
"Immingham",12300,53.612576,-0.223779
"Lincoln",21200,53.23363,-0.539217
"Long Sutton",900,52.785725,0.121565
"Louth",11000,53.366528,-0.00567
"Mablethorpe",11000,53.341927,0.26179
"Market Deeping",21000,52.675293,-0.31712
"Market Rasen",12400,53.387463,-0.335953
"North Hykeham",14800,53.187534,-0.58725
"Scunthorpe",17000,53.590946,-0.654133
"Skegness",15100,53.14252,0.341201
"Sleaford",14100,52.999466,-0.41036
"Spalding",19900,52.787144,-0.151661
"Spilsby",17600,53.17348,0.097814
"Stamford",21600,52.651943,-0.480105
"Woodhall Spa",21000,53.152225,-0.214215
"Northamptonshire",20100,54.782618,-1.522936
"Brackley",20700,52.02603,-1.15012
"Burton Latimer",12000,52.3648,-0.678112
"Corby",16200,52.487732,-0.701243
"Daventry",19400,52.25835,-1.160397
"Desborough",12400,52.44049,-0.812694
"Higham Ferrers",5400,52.306458,-0.592822
"Irthlingborough",23000,52.326725,-0.61149
"Kettering",19600,52.398636,-0.725697
"Northampton",26700,52.238144,-0.895914
"Oundle",14300,52.48081,-0.468813
"Raunds",6400,52.342052,-0.534604
"Rushden",17800,52.29101,-0.596654
"Thrapston",10600,52.39657,-0.535647
"Towcester",20500,52.132732,-0.989492
"Wellingborough",19100,52.30292,-0.692194
"Nottinghamshire",20600,52.930977,-1.125592
"Arnold",11300,53.004936,-1.126111
"Beeston",15100,52.925987,-1.216845
"Bingham",19400,52.95232,-0.953032
"Cotgrave",14700,52.91014,-1.038466
"Eastwood",15900,53.01772,-1.303878
"Hucknall",13600,53.037952,-1.202442
"Kirkby-in-Ashfield",8900,53.099052,-1.245737
"Mansfield",17800,53.14438,-1.196964
"Mansfield Woodhouse",8600,53.16532,-1.191893
"Market Warsop",1200,53.206047,-1.153069
"Newark-on-Trent",17300,53.076046,-0.809843
"Nottingham",27200,52.953419,-1.149646
"Retford",18700,53.32184,-0.942357
"Southwell",18300,53.0782,-0.955101
"Stapleford",12100,52.929516,-1.274395
"Sutton in Ashfield",12800,53.12504,-1.260917
"West Bridgford",14900,52.930977,-1.125592
"Worksop",14600,53.304165,-1.124489
"Rutland",12300,52.67047,-0.728124
"Oakham",15400,52.67047,-0.728124
"Uppingham",10700,52.588985,-0.722933
"Eastern",20200,51.533886,-1.919914
"Bedfordshire",20300,51.411922,-0.864632
"Ampthill",12900,52.03181,-0.49295
"Bedford",26100,52.13685,-0.468511
"Biggleswade",13100,52.086872,-0.265141
"Dunstable",16600,51.886032,-0.520936
"Houghton Regis",14800,51.904312,-0.520992
