Overall Rank,Overall Score,Size (acres),Town,Rightmove url,Price,Size (sq ft),£ per 1000 Sq Ft,Price Score,Price Rank,Competition Total,Competition Score,Competition Rank,Population Total,Population Score,Population Rank,Income Average,Income Score,Income Rank,Traffic Total,Traffic Score,Traffic Rank
1,71.80,0.00,TW20 9PJ,https://www.rightmove.co.uk/properties/154302413,"£1,150,000",Ask agent,0.00,20.00,1,52,17.35,882,976264,4.93,133,20353.85,10.46,195,156693,19.06,2
2,68.90,0.00,B93 0JU,https://www.rightmove.co.uk/properties/159937205,"£1,000,000",Ask agent,0.00,20.00,1,26,18.67,733,1385370,6.99,93,18500.00,9.51,346,112847,13.73,4
3,68.68,0.40,WA4 1JY,https://www.rightmove.co.uk/properties/125078825,"£1,000,000","17,424 sq ft",57392.10,19.49,840,35,18.21,816,381615,1.93,342,17600.00,9.05,420,164405,20.00,1
4,67.51,9.10,CM1 2QF,https://www.rightmove.co.uk/properties/156624929,POA,"396,396 sq ft",0.00,20.00,1,29,18.52,761,520213,2.63,254,19650.00,10.10,257,133651,16.26,3
5,63.40,2.83,BS1 2NN,https://www.rightmove.co.uk/properties/149433740,"£1,300,000","123,057 sq ft",10564.21,19.91,750,42,17.86,849,722000,3.64,176,20560.00,10.57,177,93910,11.42,6
6,63.27,0.20,"1st Floor 
75-77
Colmore Row
Birmingham
B3 2AP",https://www.rightmove.co.uk/properties/158707679,"£1,195,000","8,503 sq ft",140538.63,18.74,889,76,16.12,917,1670905,8.43,73,26250.00,13.50,12,53255,6.48,17
7,61.84,227.00,PE9 2JL,https://www.rightmove.co.uk/properties/155525507,"£3,900,000","9,888,120 sq ft",394.41,20.00,662,6,19.69,211,296895,1.50,395,38900.00,20.00,1,5325,0.65,465
8,61.83,0.00,"14-16
Bromham Road
Bedford
MK40 2QA",https://www.rightmove.co.uk/properties/130296224,"£7,000,000",Ask agent,0.00,20.00,1,79,15.97,921,2080265,10.50,53,26250.00,13.50,12,15325,1.86,186
9,60.97,0.00,DY1 1PB,https://www.rightmove.co.uk/properties/135512849,"£2,000,000",Ask agent,0.00,20.00,1,86,15.61,930,2216590,11.19,43,26250.00,13.50,12,5582,0.68,458
10,60.63,0.00,B93 0JU,https://www.rightmove.co.uk/properties/157943138,"£1,750,000",Ask agent,0.00,20.00,1,15,19.23,531,1635815,8.26,74,23600.00,12.13,38,8285,1.01,350
11,59.65,3.18,"The Mint 
95 Icknield Street
Hockley
Birmingham
B18 6RU",https://www.rightmove.co.uk/properties/158679728,"£1,150,000","138,521 sq ft",8301.99,19.93,735,22,18.88,688,1285235,6.49,99,21350.00,10.98,127,27834,3.39,74
12,59.22,0.00,SS1 1BD,https://www.rightmove.co.uk/properties/158294165,"£1,200,000",Ask agent,0.00,20.00,1,37,18.11,831,551495,2.78,238,17650.00,9.07,415,76019,9.25,10
13,58.71,0.00,B15 3SH,https://www.rightmove.co.uk/properties/160033937,"£1,795,000",Ask agent,0.00,20.00,1,82,15.82,924,1689905,8.53,69,26250.00,13.50,12,7153,0.87,393
14,58.18,0.00,"185-187 High Street
Harborne
Birmingham
B17 9QG",https://www.rightmove.co.uk/properties/162461231,"£2,500,000",Ask agent,0.00,20.00,1,77,16.07,918,1687860,8.52,70,26250.00,13.50,12,764,0.09,770
15,58.05,0.00,W1U 8AN,https://www.rightmove.co.uk/properties/150350780,"£3,500,000",Ask agent,0.00,20.00,1,21,18.93,664,400815,2.02,331,25075.00,12.89,23,34580,4.21,42
16,58.02,0.00,CM14 4DB,https://www.rightmove.co.uk/properties/157418843,"£1,150,000",Ask agent,0.00,20.00,1,33,18.32,800,431405,2.18,319,20500.00,10.54,185,57442,6.99,14
17,57.93,26.70,LE65 1AN,https://www.rightmove.co.uk/properties/159141197,"£1,500,000","1,163,052 sq ft",1289.71,19.99,686,5,19.74,177,191660,0.97,495,19600.00,10.08,265,58760,7.15,13
18,57.80,0.00,TQ7 1BG,https://www.rightmove.co.uk/properties/147016628,"£10,850,000",Ask agent,0.00,20.00,1,21,18.93,664,208695,1.05,473,15766.67,8.11,573,79854,9.71,7
19,57.74,0.00,CB1 7EA,https://www.rightmove.co.uk/properties/151533824,"£1,500,000",Ask agent,0.00,20.00,1,19,19.03,622,229095,1.16,454,27800.00,14.29,6,26840,3.27,80
20,57.55,1.00,W1U 1NH,https://www.rightmove.co.uk/properties/161118905,"£1,000,000","43,560-65,340 sq ft",22956.84,19.79,797,11,19.44,403,100830,0.51,638,29300.00,15.06,3,22585,2.75,107
21,57.49,0.00,PR1 3NA,https://www.rightmove.co.uk/properties/155820626,"£1,200,000",Ask agent,0.00,20.00,1,36,18.16,824,478020,2.41,287,16900.00,8.69,501,67636,8.23,11
22,57.49,1.85,CM2 5LB,https://www.rightmove.co.uk/properties/146123510,"£1,500,000","80,586 sq ft",18613.65,19.83,785,8,19.59,273,90255,0.46,670,21525.00,11.07,120,53744,6.54,16
23,57.40,0.00,"32-34 Baker Street
Weybridge
Surrey
KT13 8AU",https://www.rightmove.co.uk/properties/160134797,"£1,600,000",Ask agent,0.00,20.00,1,116,14.08,951,1482058,7.48,84,20747.83,10.67,162,42474,5.17,24
24,57.25,1.28,"Peat House
1 Waterloo Way
Leicester
LE1 6LP",https://www.rightmove.co.uk/properties/131129720,"£1,100,000","55,757 sq ft",19728.46,19.82,787,33,18.32,800,609830,3.08,211,23366.67,12.01,43,33063,4.02,48
25,57.21,0.28,E15 4QZ,https://www.rightmove.co.uk/properties/151663916,"£2,700,000","12,163 sq ft",221984.71,18.02,922,23,18.83,703,218620,1.10,465,22160.00,11.39,89,64732,7.87,12
26,57.18,0.00,GL7 2BL,https://www.rightmove.co.uk/properties/157608926,"£1,200,000",Ask agent,0.00,20.00,1,57,17.09,890,830850,4.19,153,20740.00,10.66,163,43049,5.24,22
27,57.10,7.78,NR3 1AB,https://www.rightmove.co.uk/properties/119505914,POA,"338,897 sq ft",0.00,20.00,1,6,19.69,211,51265,0.26,784,33266.67,17.10,2,322,0.04,869
28,56.97,0.48,LS1 4AP,https://www.rightmove.co.uk/properties/135107393,POA,"20,909 sq ft",0.00,20.00,1,40,17.96,843,905180,4.57,142,19537.50,10.04,272,36137,4.40,40
29,56.93,9.24,IP33 1RH,https://www.rightmove.co.uk/properties/156691385,"£1,600,000","402,494 sq ft",3975.21,19.96,706,8,19.59,273,37860,0.19,828,25450.00,13.08,21,33666,4.10,45
30,56.92,0.00,SW19 2JF,https://www.rightmove.co.uk/properties/160015265,"£1,000,000",Ask agent,0.00,20.00,1,103,14.74,943,1885814,9.52,62,15843.75,8.15,569,37070,4.51,37
31,56.80,0.14,TW5 9AW,https://www.rightmove.co.uk/properties/145958246,"£1,200,000","6,017 sq ft",199434.93,18.22,914,95,15.15,938,1554585,7.85,80,19777.78,10.17,250,44533,5.42,21
32,56.69,0.00,TW8 0AT,https://www.rightmove.co.uk/properties/127123199,"£2,750,000",Ask agent,0.00,20.00,1,132,13.27,954,2111518,10.66,51,19496.00,10.02,277,22595,2.75,106
33,56.65,0.00,SL5 0DH,https://www.rightmove.co.uk/properties/157270949,"£1,350,000",Ask agent,0.00,20.00,1,26,18.67,733,639185,3.23,203,22525.00,11.58,64,26022,3.17,84
34,56.62,3.18,"4
Brindley Place
Birmingham
B1 2LG",https://www.rightmove.co.uk/properties/161080982,"£1,150,000","138,521 sq ft",8301.99,19.93,735,22,18.88,688,1286230,6.49,97,21350.00,10.98,127,2871,0.35,573
35,56.58,356.26,"Highfield Court
Highfield Road
Oakley
Bedford
MK43 7TA",https://www.rightmove.co.uk/properties/162039161,"£4,000,000","15,518,686 sq ft",257.75,20.00,625,8,19.59,273,483855,2.44,280,27350.00,14.06,7,4003,0.49,521
36,56.37,28.07,LN6 3LH,https://www.rightmove.co.uk/properties/158461247,POA,"1,222,779 sq ft",0.00,20.00,1,21,18.93,664,657695,3.32,200,24200.00,12.44,30,13775,1.68,218
37,56.30,0.00,Broadway Southall,https://www.rightmove.co.uk/properties/143773079,"£1,800,000",Ask agent,0.00,20.00,1,96,15.10,940,1562275,7.88,79,19664.71,10.11,256,26373,3.21,83
38,56.30,0.00,SW19 2JF,https://www.rightmove.co.uk/properties/151993805,"£1,800,000",Ask agent,0.00,20.00,1,181,10.77,958,2829824,14.28,26,18950.00,9.74,321,12444,1.51,250
39,56.30,0.00,GU1 3JF,https://www.rightmove.co.uk/properties/159676277,POA,Ask agent,0.00,20.00,1,10,19.49,363,233080,1.18,450,21700.00,11.16,111,36789,4.48,38
40,56.27,0.00,W4 1PD,https://www.rightmove.co.uk/properties/159081563,"£2,200,000",Ask agent,0.00,20.00,1,186,10.51,962,1992717,10.06,58,20500.00,10.54,185,42467,5.17,25
41,56.19,0.00,SW19 2JF,https://www.rightmove.co.uk/properties/159529472,"£1,250,000",Ask agent,0.00,20.00,1,184,10.61,961,2834344,14.30,25,18172.00,9.34,375,15890,1.93,170
42,56.01,1695.00,L3 9HF,https://www.rightmove.co.uk/properties/160097444,POA,"73,834,200 sq ft",0.00,20.00,1,49,17.50,870,1153210,5.82,110,17383.33,8.94,445,30829,3.75,62
43,55.92,5.15,"2 Grove Court
Grove Park
Leicester
LE19 1SA",https://www.rightmove.co.uk/properties/150564119,POA,"224,334 sq ft",0.00,20.00,1,29,18.52,761,581055,2.93,222,24100.00,12.39,32,17077,2.08,151
44,55.86,3.80,HU1 1XE,https://www.rightmove.co.uk/properties/158344490,"£1,400,000","165,528 sq ft",8457.78,19.92,737,30,18.47,772,362865,1.83,353,17525.00,9.01,436,54437,6.62,15
45,55.85,3.67,L3 9RY,https://www.rightmove.co.uk/properties/142533407,POA,"160,000 sq ft",0.00,20.00,1,25,18.72,726,1221475,6.16,105,15300.00,7.87,613,25437,3.09,86
46,55.81,1.05,"CEME
Marsh Way
Rainham",https://www.rightmove.co.uk/properties/147434516,"£2,000,000","45,738 sq ft",43727.32,19.61,830,42,17.86,849,769615,3.88,161,18216.67,9.37,370,41860,5.09,28
47,55.78,0.00,SW19 2JF,https://www.rightmove.co.uk/properties/160053632,"£1,250,000",Ask agent,0.00,20.00,1,192,10.20,964,2724249,13.75,30,18172.00,9.34,375,20402,2.48,119
48,55.62,347.00,LE11 5RF,https://www.rightmove.co.uk/properties/159320780,"£4,500,000","15,115,320 sq ft",297.71,20.00,643,30,18.47,772,579660,2.93,223,17600.00,9.05,420,42595,5.18,23
49,55.53,0.00,SW19 2JF,https://www.rightmove.co.uk/properties/157354142,"£1,000,000",Ask agent,0.00,20.00,1,109,14.44,947,2209819,11.15,44,15843.75,8.15,569,14779,1.80,200
50,55.51,112.55,SW3 2PR,https://www.rightmove.co.uk/properties/161835638,"£1,400,000","4,902,678 sq ft",285.56,20.00,641,5,19.74,177,87660,0.44,677,20333.33,10.45,196,40064,4.87,29
51,55.51,264.14,SW3 2PR,https://www.rightmove.co.uk/properties/161833004,"£3,100,000","11,505,938 sq ft",269.43,20.00,632,5,19.74,177,86745,0.44,680,20333.33,10.45,196,40064,4.87,29
52,55.51,765.24,SW3 2PR,https://www.rightmove.co.uk/properties/161401148,"£8,500,000","33,333,854 sq ft",255.00,20.00,624,5,19.74,177,86345,0.44,683,20333.33,10.45,196,40064,4.87,29
53,55.50,0.74,"Bath 
BA1 5BD",https://www.rightmove.co.uk/properties/161418242,POA,"32,371 sq ft",0.00,20.00,1,21,18.93,664,447920,2.26,309,23260.00,11.96,49,19322,2.35,128
54,55.46,388.55,SW3 2PR,https://www.rightmove.co.uk/properties/161830160,"£4,000,000","16,925,238 sq ft",236.33,20.00,616,6,19.69,211,87725,0.44,676,20333.33,10.45,196,40064,4.87,29
55,55.42,0.00,"41 High Street
Chislehurst
BR7 5AE",https://www.rightmove.co.uk/properties/156874202,"£2,400,000",Ask agent,0.00,20.00,1,59,16.99,899,1266916,6.39,102,19678.57,10.12,255,15795,1.92,177
56,55.39,0.00,EN6 2HW,https://www.rightmove.co.uk/properties/161030984,"£1,500,000",Ask agent,0.00,20.00,1,24,18.78,718,1083760,5.47,119,18928.57,9.73,322,11610,1.41,271
57,55.39,0.14,W1G 0JD,https://www.rightmove.co.uk/properties/158150183,"£4,500,000","6,006 sq ft",749250.75,13.30,985,353,1.99,992,3154491,15.92,18,22783.33,11.71,59,102446,12.46,5
58,55.39,0.00,GL50 3PE,https://www.rightmove.co.uk/properties/161446043,"£1,400,000",Ask agent,0.00,20.00,1,23,18.83,703,306100,1.54,387,23400.00,12.03,40,24524,2.98,94
59,55.37,1.05,NW8 9TT,https://www.rightmove.co.uk/properties/141224813,"£4,000,000","45,616 sq ft",87688.53,19.22,867,41,17.91,847,737340,3.72,167,19300.00,9.92,293,37863,4.61,36
60,55.31,0.14,M2,https://www.rightmove.co.uk/properties/157247900,"£1,300,000","6,083 sq ft",213710.34,18.09,918,18,19.08,606,1286060,6.49,98,21350.00,10.98,127,5508,0.67,460
61,55.14,3.35,SL9 8PE,https://www.rightmove.co.uk/properties/153644006,"£2,000,000","146,120 sq ft",13687.38,19.88,769,9,19.54,315,317585,1.60,381,25750.00,13.24,18,7268,0.88,390
62,55.14,2.72,"Blackburn road
Sheffield
S61 2DW",https://www.rightmove.co.uk/properties/155981630,"£1,100,000","118,483 sq ft",9284.03,19.92,744,42,17.86,849,795980,4.02,157,19475.00,10.01,279,27393,3.33,79
63,55.08,0.00,"Parkway
London
NW1 7AH",https://www.rightmove.co.uk/properties/162200825,POA,Ask agent,0.00,20.00,1,15,19.23,531,780016,3.94,160,20050.00,10.31,225,13160,1.60,231
64,55.08,3.67,ME14 3EN,https://www.rightmove.co.uk/properties/157766687,"£2,000,000","159,865 sq ft",12510.56,19.89,762,8,19.59,273,96225,0.49,648,29300.00,15.06,3,392,0.05,852
